"","Lacz.1","Lacz.2","Lacz.3","Yap.1","Yap.2","Yap.3"
"ENSMUSG00000027209_Fam227b",-0.056386152568667,-0.556315114496713,-0.915276892545291,-0.417180219887348,-1.08718865726565,-0.80330138166241
"ENSMUSG00000027208_Fgf7",3.35541378691021,3.0285478252538,2.70603142585397,3.19026157714464,3.320522726413,2.66640661682469
"ENSMUSG00000023330_Dtwd1",2.30528399320102,2.30103141380009,2.2959352268997,2.2854708066981,2.07084479213869,1.74559348718166
"ENSMUSG00000060131_Atp8b4",-1.03580355699361,0.172745274057468,1.57084921300839,2.75874033593073,3.30986784517861,2.9777598300653
"ENSMUSG00000027361_Gabpb1",4.89072784967333,5.02281248568424,4.97125946640992,4.68064857639088,4.82524958609745,4.63223821072591
"ENSMUSG00000098024_Gm27003",3.6192367472692,3.82126357454115,3.61705498642578,3.80330575570063,3.8013079789152,3.85291948722913
"ENSMUSG00000027363_Usp8",5.95353829753364,5.93569191028045,5.99852416835487,5.63435924747332,5.66224731168967,5.45557029814587
"ENSMUSG00000027364_Usp50",-0.98981692685543,-1.00837473749572,-1.21719950404439,-1.38480236735934,-1.71179752180585,-0.835474526969635
"ENSMUSG00000027365_Trpm7",8.42866890704348,8.54053506207455,8.56397048158066,7.90386030643366,7.89871684838058,7.73153856944829
"ENSMUSG00000027366_Sppl2a",7.10013207502754,7.18144867631139,7.1969771760691,6.34956006858037,6.33692298756519,6.08090911571056
"ENSMUSG00000001998_Ap4e1",5.90034708095888,5.87052591322049,5.93087686096101,5.4662357332141,5.5325034097219,5.5508245000239
"ENSMUSG00000001999_Blvra",2.85779924181005,2.86912158179299,2.93340940226886,3.40998835942741,3.40304216307802,3.30184178352388
"ENSMUSG00000034906_Ncaph",0.222851414207964,0.273222258824571,0.517396083399894,0.952373322529172,1.369661473807,1.2279336822526
"ENSMUSG00000074825_Itpripl1",-3.00693041844194,-2.37916168096189,-2.12113305581742,-1.16476822201292,-0.494950136832151,-0.0707134486533316
"ENSMUSG00000044145_1810024B03Rik",2.31447683273531,1.89085913407484,2.36064635115497,1.77038589304762,1.54344423880362,1.13966471448267
"ENSMUSG00000003660_Snrnp200",5.1005679187692,4.98442261213638,5.15933802291144,5.19073973352387,5.05076342643463,5.03558611372857
"ENSMUSG00000003662_Ciao1",2.71237466015159,2.7301953855959,3.06653001199231,2.84994087403431,2.61611580032694,2.56221572518948
"ENSMUSG00000034850_Tmem127",5.20064045081783,5.09150606040768,5.17541633348925,4.71154939784797,4.70841654734638,4.39980542105299
"ENSMUSG00000103957_Gm10766",0.489543798903693,0.248751406165471,0.614940375097161,-0.256323985492837,0.155610570902893,-0.80330138166241
"ENSMUSG00000027367_Stard7",7.80689111688521,7.8015707776088,7.79503263976174,7.4520577722452,7.48536750007057,7.31390637968035
"ENSMUSG00000027368_Dusp2",-2.54125219876909,-1.76685136058359,-1.39572291028073,-0.805348519154866,-0.386998490619685,-0.624015305093061
"ENSMUSG00000027371_Fahd2a",3.82781898310894,3.83981390416009,3.84147124988457,3.42701458192133,3.24702651130363,2.86965904461891
"ENSMUSG00000079056_Kcnip3",-2.08936759211186,-2.37916168096189,-1.49401606370436,-1.24879911860459,-0.0762883424145552,-0.439624846210565
"ENSMUSG00000034800_Zfp661",3.60056987734567,3.48130887559537,3.60523398757556,3.37707427550386,3.04662569648977,2.99158010142231
"ENSMUSG00000027374_Mrps5",4.26717687551973,4.35451584807988,4.41235597249204,4.31317146568477,4.25869210467352,4.0897782997448
"ENSMUSG00000027375_Mal",-2.29768919478205,-2.10238856539194,-2.28746587853362,-2.46560933765676,-2.50114526526612,-2.68044986668948
"ENSMUSG00000027377_Mall",-4.46074073113444,-2.2341481013087,-3.09264298864176,-2.1108133589202,-1.20449062778414,-1.76117775064813
"ENSMUSG00000027378_Nphp1",4.60444001132964,4.37444570252517,4.29216248052292,4.58224555509753,4.40478113961556,4.28478470735053
"ENSMUSG00000051319_Mtln",0.834421227083438,0.956225996649968,1.33355634748877,0.865114479831505,0.435950120793434,0.439966712304243
"ENSMUSG00000027379_Bub1",-4.03006884221594,-5.07748966616081,-3.89619463247566,-1.58871786671378,-0.422092456216828,-0.596186528730071
"ENSMUSG00000027380_Acoxl",-0.343920693301513,-0.789839139235765,-0.881619672190195,-0.492016574788204,0.0314023130310407,-0.464566840100412
"ENSMUSG00000027381_Bcl2l11",5.49454903806773,5.2447593755271,4.60347748564072,5.37574157925557,5.19308649452465,5.09547240548006
"ENSMUSG00000074813_Gm14005",3.23954213053942,3.21061718340852,3.6081983300843,4.22733021317276,5.09410005168507,4.29224849947915
"ENSMUSG00000085750_Gm14009",-1.67129532855683,-1.76685136058359,-1.5457936567562,-1.70261273246904,-1.47228022137838,-1.53300026384431
"ENSMUSG00000109931_Gm39929",-0.528839555674243,-1.4948150157322,-1.39572291028073,-1.82627579737712,-1.03193061211252,-1.70066190357666
